== Computing Ramchandran numbers ==
Using Parameters:
	INITIAL_ALPHA: 5
	MAX_INITIAL_DEPTH: 4
	ALPHA: 20
	MAX_TRIES: 150

AUTHOR                                 RAMCHANDRAN NUMBER
Boi Faltings                           4
Abbas El Gamal                         4
Mp (Anant) Anantram                    4
Roberto Tron                           4
Shai Shalev-Shwartz                    4
Daniel Gillick                         4
Js Marron                              4
Glenn Gulak                            4
Michael Kopp                           4
Giuseppe Ateniese                      4
Simon Bozonnet                         4
Benjamin Ip Rubinstein                 4
Tara Sainath                           4
David Wagner                           4
Jun Wang                               4
Florent Monay                          4
Satashu Goel                           4
Serdar Boztas                          4
Paolo Braca                            4
Anirban Mahanti                        4
Hui Zang                               4
Christian Lehr                         4
Alessandro Piva                        4
Soung Chang Liew                       4
Iasonas Kokkinos                       4
Kun Deng                               4
Lothar Thiele                          4
Joseph (Yossi) Keshet                  4
Henry Wolkowicz                        4
Noam Peled                             4
Supriyo Chakraborty                    4
Yu-Ming Liang                          4
Michael Langberg                       4
Biswanath Mukherjee                    4
Changhee Joo                           4
Pongtep Angkititrakul                  4
Dmitri E. Nikonov                      4
Olivier Siohan                         4
Konstantinos Blekas                    4
Andrei Gurtov                          4
Pieter Abbeel                          4
Wei Gao                                4
Gal Chechik                            4
Xiaokui Xiao                           4
Eleazar Eskin                          4
Victor Bahl                            4
Zilong Liu                             4
D Manjunath                            4
Shankar Rao                            4
Anja Lorenz                            4
Dinggang Shen                          4
Bs Manjunath                           4
Walid Saad                             4
Thomas C Walters                       4
Hj Siegel                              4
Chin-Hui Lee                           4
Norman Poh                             4
Wei Zhang                              4
Sameer Pawar                           4
Gabrielle E. Kelly                     4
Alain Rakotomamonjy                    4
Yuan Ding                              4
G Kochanski                            4
Russell Luke                           4
Michail G. Lagoudakis                  4
Alexander Pohl                         4
Hanchuan Peng                          4
J. Shane Culpepper                     4
Leonie Simpson                         4
Udaya Parampalli                       4
Ramtin Pedarsani                       4
Markus Fassold                         4
Roberto Barrio                         4
Juan E. Tapiador                       4
Simon J. Puglisi                       4
Lewis Tseng                            4
Yasemin Altun                          4
Malathi Veeraraghavan                  4
Jonathan (Jon) Borwein                 4
Sarah Aerni                            4
Koray Karabina                         4
Yin Sun                                4
Kevin Eliceiri                         4
Hermann Maurer                         4
Ponnurangam Kumaraguru                 4
Matthias Ritter                        4
Eli Yablonovitch                       4
Jean-Marc Odobez                       4
Pierluigi Failla                       4
Tamara Polajnar                        4
Xiaoxin (Christine) Zhang              4
Dette                                  4
Par Kurlberg                           4
Selver Softic                          4
Chih-Hung Ling                         4
Yih-Farn Robin Chen                    4
Hazhir Rahmandad                       4
